Frågor,Uppgift nr:,Svar
"Beskriv hur transportsystemet fungerar hos kräftjdur, duggmaskar, fiskar, groddjur respektive kräldjur.",1,
Vad menas med öppet respektive slutet blodomlopp?,2a,"Ett öppet blodomlopp innebär att blodet rinner i både kärl och i öppna hålrum, så att blodet kommer i direkt kontakt med cellerna. I ett stängt blodomlopp rinner alltid blodet i kärl. Detta är nödvändigt för större djur eftersom transportet behöver vara starkare och snabbare. Med en snabbare transport behövs inte samma blodvolym."
Vad menas med enkel respektive dubbel blodomlopp?,2b,"Enkel - blodet upptar och avger syret under sammavarv. Dubbelt - blodet upptar och avger blodet itvå olika ""varv"". Ut i kroppen respektive ut i andningsorganen."
Vilka rum finns i människans hjärta?,3,2 förmak 2 kammare
"Hur ser segel respektive fickklaffar ut, var finns de och vilka uppgifter har de?",4,"Båda klaffarnas uppgifter är att förhindra att blodet rinner tillbaka. Fickklaffarna ser ut som blåsor som när blodet ""rinner tillbaka"" fylls med blod och därmed förseglar vägen in i kammarna."
Hur många hjärtslag per minut gör vanligtvis en vanligt vuxen person i vila?,5,70
"Hur samordnas hjärtats slag, och hur kan man ta reda på hjärtat fungerar som det ska med hjälp av ""samordningsmekanismen""",6,sa nod > av noden
På vilka två sätt ökas hjärtats kapacitet vid hårdare kroppsarbete?,7,Slagfrekvensen ökar.. Även slagvolymen?
Varför är blodtrycket i venerna mycket lägre än det i artärerna?,8,blodet har färdats och delats upp genom kapilärerna. Arenan är större vilket gör att en del av trycket försvinner.
Hur kan blodet komma tillbaka till hjärtat trots det låga trycket i venerna?,9,"venklaffar gör att blodet inte rinner baklänges, skelettmuskler pressar på från utsidan, tryck från bröstkorgen när man andas."
blodtrycket i lungartären är betydligt lägre an i aorta. Ser du något samband med hur hjärtmuskeln är uppbyggd?,10,"Aortan är större och kraftigare och förgrenar sig tidigare i mindre kärl (för att fördela trycket, eller inte för att men en konsekvens)"
"Hur låter hjärtat i stetoskop, och vilka händelser motsvaras av de olika ljuden?",11,
vilken roll i kretsloppet har artärer respektive vener?,12,"artärer - från hjärtat, ven - till hjärtat"
Vilka likheter respektive skillnader finns i uppbyggnaden av artärer och vener?,13,artärer - tjocka elastiska väggar
Vad menas med kappilärer?,14,Det är de små kärl som transporterar blodet den sista biten till cellerna.
Hur kan blodflödet genom kapillärerna styras?,15,"genom venoler, som kan kontraheras och därmed kontrollera flödet av blod genom dem."
Hur styrs hjärtfrekvensen respektive blodtryck?,16,"Hjärtfrekvensen styrs av receptorer i halsen som känner pH-värdet i blodet. När den sjunker behövs mer syre. Blodtrycket påverkas av hjärtats slagkraft, den totala blodvolymen och motståndet mot blodsträmmen i blodomloppet."
Vilken uppgift har kransartärerna?,17,Att förse hjärtat med syre och näring.
Hur stor volym blod brukar hjärtat pumpa ut i kroppen vid varje pulsslag?,18,5 liter per minut dvs ca 1/12 liter per slag (förutsatt en puls på 60 slag per minut)
Vilka krafter får näring att passera från kapillärerna till cellerna respektive avfallet från cellern till kapillärerna?,20,"trycket fysiskt sett, och sedan det osmosiska trycket."
Hur bildas lymfan?,28,vävnadsvätskan när den färdas in i lymfkärlen kallas lymfvätska.
Hur uppstår ateroskleros (återförfettning?) Hur kan det motverkas? Vad kan man annar råka ut för?,29,"Genom en livsstil med för dålig kost och för lite motion. socker, mättade fetter. Blodproppar, åderförfettning"
Vilka är riskerna med högt blodtryck,30,Lägger hjärtat och kärlen under en dstörre stress.
Vad menas med hjärtinfarkt?,31,Det är när kärlkrampen går till den graden att det har bildats en propp i en av hjärtats artärer. Hjärtats celler får då inte nog med syre och kan då dö.
Vad kan man råka ut för om blodet har för låg halt albumin?,32,"Svullnad, blodet har svårare att hålla kvar vätskan och den läcker då ut i resten av kroppen som vävnadsvätska."
"Vad enas med anemi, och vad kan den bero på?",33,"Det är när antalet röda blodkroppar eller hemoglobin är för lågt. Den orsakas vanligtvis av järnbrist, vitaminbrist (folsyra eller b12) eller en allvarlig infektion."
Vilka kirurgiska metoder kan man använda för att behandla personer med förträngda kranskärl?,34,Blåsa upp en balong i kärlet och spränga sönder placket.
